Record,Date,Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1,Set RH,RH Low Alarm,RH Low Alert,RH High Alarm,RH High Alert,RH 1
58,12-08-2024,06:33:29,25.0,23.0,22.0,27.0,26.0,25.1,60.0,55.0,54.0,65.0,64.0,59.8
59,10-02-2024,05:05:37,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,59.7
60,19-03-2024,02:55:56,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,59.6
61,11-08-2024,13:27:14,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,59.7
62,19-09-2024,14:30:05,25.0,23.0,22.0,27.0,26.0,25.1,60.0,55.0,54.0,65.0,64.0,60.4
63,12-02-2024,20:11:25,25.0,23.0,22.0,27.0,26.0,25.1,60.0,55.0,54.0,65.0,64.0,60.2
64,19-09-2024,18:51:35,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,60.2
65,06-08-2024,23:37:06,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,60.4
66,13-06-2024,04:55:53,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,60.2
67,27-03-2024,13:35:49,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.5
68,19-06-2024,22:51:38,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,59.5
69,14-10-2024,10:41:30,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,60.3
70,11-06-2024,12:36:34,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,59.9
71,09-03-2024,12:30:32,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.3
72,21-02-2024,04:05:14,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,60.4
73,11-09-2024,14:55:45,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,59.9
74,30-07-2024,04:12:58,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,59.7
75,03-05-2024,20:13:39,25.0,23.0,22.0,27.0,26.0,25.3,60.0,55.0,54.0,65.0,64.0,60.2
76,08-08-2024,11:15:17,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,59.6
77,27-09-2024,08:01:24,25.0,23.0,22.0,27.0,26.0,24.8,60.0,55.0,54.0,65.0,64.0,60.4
78,16-01-2024,10:20:35,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,59.5
79,13-02-2024,06:15:20,25.0,23.0,22.0,27.0,26.0,25.5,60.0,55.0,54.0,65.0,64.0,60.2
80,16-05-2024,15:01:10,25.0,23.0,22.0,27.0,26.0,24.5,60.0,55.0,54.0,65.0,64.0,60.4
81,28-08-2024,16:26:45,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,59.5
82,22-09-2024,10:14:26,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,60.4
83,19-01-2024,16:03:57,25.0,23.0,22.0,27.0,26.0,24.6,60.0,55.0,54.0,65.0,64.0,59.8
84,21-04-2024,06:14:35,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,60.2
85,15-01-2024,11:06:16,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,59.6
86,19-03-2024,15:10:15,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,59.9
87,28-07-2024,07:32:26,25.0,23.0,22.0,27.0,26.0,24.5,60.0,55.0,54.0,65.0,64.0,59.5
88,10-02-2024,18:30:07,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,59.6
89,16-07-2024,15:34:28,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,60.2
90,03-05-2024,10:05:12,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,60.5
91,16-01-2024,04:51:16,25.0,23.0,22.0,27.0,26.0,25.2,60.0,55.0,54.0,65.0,64.0,60.3
92,01-04-2024,06:12:18,25.0,23.0,22.0,27.0,26.0,25.1,60.0,55.0,54.0,65.0,64.0,59.8
93,01-07-2024,09:34:30,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,60.4
94,05-03-2024,23:10:17,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,60.1
95,04-04-2024,15:58:21,25.0,23.0,22.0,27.0,26.0,25.4,60.0,55.0,54.0,65.0,64.0,60.4
96,04-05-2024,13:52:45,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,60.3
97,26-05-2024,13:11:18,25.0,23.0,22.0,27.0,26.0,24.9,60.0,55.0,54.0,65.0,64.0,59.6
98,27-06-2024,17:11:49,25.0,23.0,22.0,27.0,26.0,24.7,60.0,55.0,54.0,65.0,64.0,60.1
99,24-04-2024,10:16:28,25.0,23.0,22.0,27.0,26.0,25.0,60.0,55.0,54.0,65.0,64.0,60.3
100,07-09-2024,10:54:32,25.0,23.0,22.0,27.0,26.0,25.5,60.0,55.0,54.0,65.0,64.0,60.4
