Record,Date,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1,Tmp 2,Tmp 3,Tmp 4,Tmp 5,Tmp 6,Tmp 7,Tmp 8,Tmp 9,Tmp 10,Set RH,RH Low Alarm,RH Low Alert,RH High Alarm,RH High Alert,RH 1,RH 2,RH 3,RH 4,RH 5,RH 6,RH 7,RH 8,RH 9,RH 10
11,07-05-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.9,24.8,24.7,24.9,24.8,25.0,24.6,24.8,24.5,60.0,55.0,65.0,65.0,63.0,60.3,60.4,60.3,60.4,60.4,60.0,60.0,60.0,60.4,60.0
12,11-05-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.9,24.8,25.0,24.9,24.9,24.7,24.8,24.7,24.9,60.0,55.0,65.0,65.0,63.0,60.1,60.4,60.3,60.2,60.1,60.5,60.5,60.2,60.2,60.1
13,15-05-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.9,24.8,24.9,24.8,24.9,24.8,24.8,24.9,24.5,60.0,55.0,65.0,65.0,63.0,60.2,60.5,60.4,60.0,60.0,60.4,60.4,60.4,60.0,60.3
14,18-05-2024,25.0,23.0,22.0,27.0,26.0,24.6,25.0,24.6,24.7,24.7,24.9,24.9,24.8,25.0,24.9,60.0,55.0,65.0,65.0,63.0,60.3,60.1,60.2,60.5,60.1,60.3,60.1,60.5,60.2,60.3
15,22-05-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.7,24.9,24.7,25.0,24.8,24.7,24.5,24.8,24.9,60.0,55.0,65.0,65.0,63.0,60.3,60.0,60.5,60.4,60.2,60.0,60.3,60.1,60.5,60.2
16,26-05-2024,25.0,23.0,22.0,27.0,26.0,24.6,25.0,25.0,24.6,24.6,24.9,24.7,24.8,24.5,24.6,60.0,55.0,65.0,65.0,63.0,60.3,60.3,60.2,60.1,60.0,60.3,60.1,60.1,60.3,60.0
17,29-05-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.5,24.7,25.0,24.8,24.6,24.5,24.8,24.6,24.6,60.0,55.0,65.0,65.0,63.0,60.4,60.3,60.2,60.1,60.2,60.4,60.0,60.3,60.1,60.4
18,02-06-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.9,24.9,24.7,24.8,24.7,24.7,25.0,24.5,60.0,55.0,65.0,65.0,63.0,60.2,60.3,60.3,60.0,60.0,60.4,60.4,60.1,60.0,60.1
19,06-06-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.7,24.7,24.9,25.0,24.8,24.6,24.9,24.9,60.0,55.0,65.0,65.0,63.0,60.3,60.0,60.4,60.4,60.0,60.4,60.4,60.5,60.5,60.4
20,09-06-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.8,25.0,24.9,24.7,24.6,24.6,24.5,24.6,24.9,60.0,55.0,65.0,65.0,63.0,60.2,60.1,60.2,60.2,60.3,60.0,60.3,60.1,60.4,60.1
21,13-06-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.8,24.5,24.6,25.0,24.8,24.9,24.6,24.8,24.6,60.0,55.0,65.0,65.0,63.0,60.1,60.0,60.4,60.5,60.1,60.3,60.4,60.3,60.5,60.3
22,17-06-2024,25.0,23.0,22.0,27.0,26.0,24.9,25.0,24.7,24.7,24.5,24.6,24.7,25.0,25.0,24.5,60.0,55.0,65.0,65.0,63.0,60.4,60.4,60.0,60.5,60.1,60.2,60.4,60.3,60.1,60.3
23,20-06-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.8,24.5,24.6,24.5,24.7,24.7,24.9,24.9,25.0,60.0,55.0,65.0,65.0,63.0,60.1,60.1,60.4,60.0,60.0,60.4,60.1,60.5,60.3,60.1
24,24-06-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.6,24.6,24.6,24.5,24.9,24.6,24.8,24.6,24.7,60.0,55.0,65.0,65.0,63.0,60.2,60.3,60.4,60.2,60.2,60.5,60.0,60.4,60.1,60.3
25,28-06-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.7,24.8,25.0,24.8,24.9,24.8,24.9,24.7,24.7,60.0,55.0,65.0,65.0,63.0,60.1,60.3,60.1,60.2,60.0,60.2,60.3,60.0,60.3,60.1
26,01-07-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.9,24.9,24.6,24.7,24.8,24.9,24.6,24.8,24.5,60.0,55.0,65.0,65.0,63.0,60.0,60.1,60.3,60.4,60.3,60.1,60.2,60.3,60.3,60.4
27,05-07-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.6,25.0,24.6,24.7,24.7,24.8,25.0,24.8,24.8,60.0,55.0,65.0,65.0,63.0,60.1,60.2,60.3,60.3,60.4,60.3,60.3,60.1,60.1,60.2
28,09-07-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.7,24.8,24.7,24.6,25.0,24.7,24.7,24.6,60.0,55.0,65.0,65.0,63.0,60.2,60.4,60.3,60.1,60.4,60.5,60.2,60.5,60.4,60.1
29,12-07-2024,25.0,23.0,22.0,27.0,26.0,24.8,25.0,24.6,25.0,24.8,24.6,24.6,24.5,24.6,25.0,60.0,55.0,65.0,65.0,63.0,60.0,60.0,60.1,60.4,60.4,60.2,60.3,60.5,60.5,60.1
30,16-07-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.6,24.7,25.0,24.7,24.5,24.9,24.8,24.9,25.0,60.0,55.0,65.0,65.0,63.0,60.2,60.5,60.3,60.1,60.3,60.1,60.2,60.4,60.2,60.3
31,20-07-2024,25.0,23.0,22.0,27.0,26.0,24.5,24.6,24.7,24.9,24.7,24.7,24.6,24.6,25.0,24.8,60.0,55.0,65.0,65.0,63.0,60.3,60.3,60.3,60.5,60.0,60.4,60.5,60.2,60.3,60.4
32,23-07-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.6,24.8,24.7,24.7,25.0,24.8,24.6,24.9,24.9,60.0,55.0,65.0,65.0,63.0,60.1,60.3,60.2,60.1,60.3,60.1,60.4,60.2,60.1,60.2
33,27-07-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.6,24.8,24.7,24.5,24.7,24.9,24.9,24.6,24.8,60.0,55.0,65.0,65.0,63.0,60.1,60.2,60.3,60.1,60.3,60.4,60.0,60.4,60.5,60.1
34,31-07-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.7,24.7,24.7,24.7,24.5,24.9,24.9,25.0,24.7,60.0,55.0,65.0,65.0,63.0,60.2,60.2,60.1,60.2,60.4,60.5,60.3,60.0,60.3,60.1
35,04-08-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.6,24.7,25.0,24.9,24.9,24.6,24.9,24.5,24.6,60.0,55.0,65.0,65.0,63.0,60.5,60.2,60.5,60.2,60.2,60.0,60.1,60.0,60.3,60.1
36,07-08-2024,25.0,23.0,22.0,27.0,26.0,24.5,24.6,24.5,24.8,25.0,24.6,25.0,24.6,24.6,24.6,60.0,55.0,65.0,65.0,63.0,60.1,60.1,60.5,60.4,60.2,60.4,60.0,60.5,60.0,60.1
37,11-08-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.9,24.7,25.0,24.8,24.8,24.5,24.7,25.0,24.7,60.0,55.0,65.0,65.0,63.0,60.3,60.1,60.3,60.2,60.3,60.4,60.4,60.4,60.3,60.1
38,15-08-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.9,24.5,24.6,24.8,24.6,24.6,24.9,24.6,24.8,60.0,55.0,65.0,65.0,63.0,60.2,60.4,60.2,60.1,60.2,60.5,60.2,60.3,60.0,60.1
39,18-08-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.9,24.8,24.9,24.7,24.7,24.6,24.9,24.9,60.0,55.0,65.0,65.0,63.0,60.5,60.2,60.3,60.5,60.2,60.2,60.1,60.3,60.0,60.1
40,22-08-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.6,24.5,24.6,24.7,24.8,24.9,24.7,24.8,24.8,60.0,55.0,65.0,65.0,63.0,60.1,60.3,60.3,60.3,60.3,60.5,60.3,60.1,60.3,60.5
41,26-08-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.7,24.5,24.7,24.9,24.8,24.8,24.7,25.0,60.0,55.0,65.0,65.0,63.0,60.0,60.2,60.3,60.1,60.5,60.0,60.2,60.4,60.2,60.1
42,29-08-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.9,24.9,24.9,25.0,24.6,25.0,24.9,24.7,60.0,55.0,65.0,65.0,63.0,60.2,60.3,60.5,60.0,60.4,60.2,60.3,60.4,60.5,60.3
43,02-09-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.8,24.7,24.7,24.7,24.8,25.0,24.8,25.0,24.6,60.0,55.0,65.0,65.0,63.0,60.4,60.4,60.3,60.2,60.5,60.1,60.2,60.0,60.0,60.5
44,06-09-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.8,24.8,24.9,24.8,24.7,24.7,24.9,24.7,24.8,60.0,55.0,65.0,65.0,63.0,60.0,60.2,60.2,60.4,60.3,60.5,60.1,60.5,60.0,60.4
45,09-09-2024,25.0,23.0,22.0,27.0,26.0,24.5,24.6,24.7,24.7,24.6,24.6,24.8,24.7,24.9,24.7,60.0,55.0,65.0,65.0,63.0,60.2,60.4,60.3,60.3,60.3,60.2,60.2,60.2,60.1,60.0
46,13-09-2024,25.0,23.0,22.0,27.0,26.0,24.5,24.7,24.6,24.8,24.6,24.9,24.7,25.0,24.9,24.9,60.0,55.0,65.0,65.0,63.0,60.3,60.4,60.0,60.0,60.5,60.1,60.0,60.2,60.5,60.2
47,17-09-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.8,24.8,24.7,24.8,25.0,24.9,24.7,24.8,60.0,55.0,65.0,65.0,63.0,60.3,60.4,60.4,60.0,60.1,60.1,60.4,60.1,60.4,60.1
48,20-09-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.5,24.7,24.8,24.8,25.0,24.5,24.7,24.5,60.0,55.0,65.0,65.0,63.0,60.5,60.0,60.0,60.3,60.1,60.2,60.4,60.1,60.2,60.1
49,24-09-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.7,24.7,24.9,24.9,24.8,24.6,24.6,24.7,25.0,60.0,55.0,65.0,65.0,63.0,60.3,60.3,60.1,60.2,60.5,60.5,60.1,60.1,60.2,60.1
50,28-09-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.6,24.6,24.9,24.5,24.7,24.8,24.7,24.9,24.7,60.0,55.0,65.0,65.0,63.0,60.1,60.5,60.1,60.0,60.0,60.4,60.1,60.1,60.3,60.1
51,01-10-2024,25.0,23.0,22.0,27.0,26.0,24.7,25.0,24.5,24.6,24.9,24.6,24.8,25.0,24.9,25.0,60.0,55.0,65.0,65.0,63.0,60.5,60.1,60.4,60.2,60.2,60.5,60.2,60.4,60.3,60.2
52,05-10-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.5,24.7,24.9,24.7,24.9,24.5,24.5,24.8,24.6,60.0,55.0,65.0,65.0,63.0,60.4,60.0,60.3,60.2,60.2,60.3,60.5,60.2,60.4,60.1
53,09-10-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.6,24.7,24.6,24.7,24.9,24.6,24.6,24.7,24.9,60.0,55.0,65.0,65.0,63.0,60.2,60.5,60.4,60.1,60.1,60.4,60.0,60.3,60.4,60.5
54,12-10-2024,25.0,23.0,22.0,27.0,26.0,24.9,25.0,24.6,24.7,24.6,24.9,24.6,25.0,24.8,24.8,60.0,55.0,65.0,65.0,63.0,60.3,60.2,60.1,60.1,60.3,60.3,60.3,60.2,60.2,60.2
55,16-10-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.7,24.9,25.0,24.9,24.7,24.9,24.6,25.0,60.0,55.0,65.0,65.0,63.0,60.3,60.2,60.1,60.1,60.4,60.5,60.3,60.0,60.4,60.2
56,20-10-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.5,24.5,24.8,24.6,24.5,24.9,24.7,24.9,24.6,60.0,55.0,65.0,65.0,63.0,60.4,60.1,60.0,60.2,60.2,60.5,60.1,60.2,60.0,60.2
57,23-10-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.9,24.8,24.5,24.9,25.0,24.6,24.9,24.5,25.0,60.0,55.0,65.0,65.0,63.0,60.4,60.3,60.4,60.3,60.1,60.1,60.1,60.1,60.4,60.5
58,27-10-2024,25.0,23.0,22.0,27.0,26.0,24.6,25.0,24.6,24.7,25.0,25.0,24.9,24.9,24.8,24.8,60.0,55.0,65.0,65.0,63.0,60.2,60.3,60.5,60.3,60.0,60.0,60.2,60.2,60.3,60.2
59,31-10-2024,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.5,24.9,24.9,24.5,24.7,24.9,24.9,24.7,60.0,55.0,65.0,65.0,63.0,60.4,60.4,60.1,60.4,60.3,60.0,60.1,60.5,60.4,60.5
60,03-11-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.6,24.9,24.7,24.8,24.8,25.0,24.7,24.5,24.9,60.0,55.0,65.0,65.0,63.0,60.3,60.3,60.1,60.2,60.2,60.4,60.2,60.2,60.4,60.3
61,07-11-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.8,24.9,24.8,24.7,24.6,24.6,24.7,24.6,24.8,60.0,55.0,65.0,65.0,63.0,60.4,60.5,60.1,60.5,60.2,60.2,60.2,60.5,60.2,60.1
62,11-11-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.6,24.8,24.6,24.6,24.7,24.6,24.7,24.6,60.0,55.0,65.0,65.0,63.0,60.3,60.4,60.0,60.5,60.3,60.4,60.4,60.1,60.4,60.0
63,14-11-2024,25.0,23.0,22.0,27.0,26.0,24.5,24.8,25.0,24.8,24.5,24.9,24.7,24.5,24.7,25.0,60.0,55.0,65.0,65.0,63.0,60.5,60.0,60.5,60.3,60.3,60.5,60.1,60.2,60.0,60.5
64,18-11-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.7,24.6,24.8,25.0,24.5,24.6,24.9,24.6,24.7,60.0,55.0,65.0,65.0,63.0,60.3,60.3,60.2,60.2,60.2,60.4,60.3,60.4,60.2,60.5
65,22-11-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.6,25.0,24.8,24.9,24.5,24.7,24.7,24.9,25.0,60.0,55.0,65.0,65.0,63.0,60.4,60.2,60.3,60.4,60.3,60.1,60.5,60.5,60.2,60.4
66,25-11-2024,25.0,23.0,22.0,27.0,26.0,25.0,24.7,25.0,24.7,24.8,24.8,24.6,25.0,24.7,24.6,60.0,55.0,65.0,65.0,63.0,60.1,60.3,60.2,60.5,60.4,60.1,60.4,60.4,60.3,60.2
67,29-11-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.8,24.6,24.8,24.6,24.7,24.5,24.9,24.5,60.0,55.0,65.0,65.0,63.0,60.1,60.1,60.5,60.2,60.5,60.3,60.3,60.2,60.4,60.0
68,03-12-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.7,24.7,24.9,24.9,24.6,25.0,24.7,24.9,24.7,60.0,55.0,65.0,65.0,63.0,60.4,60.3,60.0,60.0,60.1,60.3,60.5,60.1,60.2,60.4
69,07-12-2024,25.0,23.0,22.0,27.0,26.0,24.6,25.0,24.8,24.8,24.5,24.7,24.9,24.7,24.6,25.0,60.0,55.0,65.0,65.0,63.0,60.4,60.5,60.1,60.2,60.1,60.1,60.1,60.4,60.1,60.0
70,10-12-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.7,24.7,24.9,24.9,24.9,24.9,25.0,24.6,60.0,55.0,65.0,65.0,63.0,60.4,60.3,60.4,60.4,60.4,60.4,60.0,60.5,60.3,60.4
71,14-12-2024,25.0,23.0,22.0,27.0,26.0,24.6,25.0,24.5,25.0,24.8,25.0,24.8,24.5,24.7,24.9,60.0,55.0,65.0,65.0,63.0,60.2,60.0,60.5,60.4,60.3,60.2,60.1,60.3,60.3,60.3
72,18-12-2024,25.0,23.0,22.0,27.0,26.0,24.7,24.9,24.6,25.0,24.9,24.8,24.7,24.6,24.8,24.7,60.0,55.0,65.0,65.0,63.0,60.3,60.0,60.2,60.4,60.0,60.2,60.2,60.4,60.0,60.1
73,21-12-2024,25.0,23.0,22.0,27.0,26.0,24.6,24.7,24.6,24.7,24.5,24.5,25.0,24.6,24.9,24.7,60.0,55.0,65.0,65.0,63.0,60.2,60.2,60.4,60.2,60.3,60.4,60.4,60.0,60.4,60.1
74,25-12-2024,25.0,23.0,22.0,27.0,26.0,24.5,24.9,24.7,24.7,24.9,24.6,24.7,25.0,24.6,24.8,60.0,55.0,65.0,65.0,63.0,60.2,60.2,60.3,60.2,60.4,60.1,60.4,60.5,60.4,60.2
75,29-12-2024,25.0,23.0,22.0,27.0,26.0,24.9,24.7,25.0,24.7,24.6,24.8,24.9,24.7,24.5,24.6,60.0,55.0,65.0,65.0,63.0,60.2,60.5,60.3,60.0,60.1,60.5,60.3,60.4,60.1,60.2
76,01-01-2025,25.0,23.0,22.0,27.0,26.0,24.6,24.6,24.9,24.9,25.0,24.5,24.9,24.7,24.9,24.5,60.0,55.0,65.0,65.0,63.0,60.3,60.2,60.4,60.2,60.0,60.3,60.1,60.1,60.3,60.2
77,05-01-2025,25.0,23.0,22.0,27.0,26.0,24.5,24.8,24.9,24.8,24.6,24.8,24.8,24.5,24.5,24.7,60.0,55.0,65.0,65.0,63.0,60.1,60.4,60.3,60.4,60.1,60.3,60.2,60.0,60.3,60.2
78,09-01-2025,25.0,23.0,22.0,27.0,26.0,24.8,24.6,24.6,24.6,24.9,24.8,24.8,24.9,24.8,24.9,60.0,55.0,65.0,65.0,63.0,60.3,60.2,60.1,60.2,60.1,60.4,60.4,60.4,60.1,60.1
79,12-01-2025,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.5,24.6,24.9,24.8,24.9,24.5,24.6,24.7,60.0,55.0,65.0,65.0,63.0,60.1,60.4,60.3,60.5,60.3,60.0,60.0,60.3,60.0,60.3
80,16-01-2025,25.0,23.0,22.0,27.0,26.0,24.5,24.5,24.6,24.8,25.0,24.7,24.5,24.6,24.8,24.6,60.0,55.0,65.0,65.0,63.0,60.2,60.0,60.5,60.2,60.3,60.5,60.5,60.4,60.1,60.3
81,20-01-2025,25.0,23.0,22.0,27.0,26.0,24.5,24.9,24.9,24.8,24.7,24.8,24.6,24.5,24.9,24.6,60.0,55.0,65.0,65.0,63.0,60.4,60.3,60.0,60.4,60.1,60.4,60.1,60.3,60.4,60.2
82,23-01-2025,25.0,23.0,22.0,27.0,26.0,24.9,24.7,24.5,24.6,24.9,24.8,24.7,24.6,24.6,24.8,60.0,55.0,65.0,65.0,63.0,60.2,60.3,60.5,60.2,60.4,60.2,60.4,60.2,60.1,60.2
83,27-01-2025,25.0,23.0,22.0,27.0,26.0,24.9,24.7,25.0,24.6,24.5,24.8,24.8,24.5,24.7,24.5,60.0,55.0,65.0,65.0,63.0,60.2,60.4,60.3,60.0,60.1,60.1,60.2,60.4,60.2,60.2
84,31-01-2025,25.0,23.0,22.0,27.0,26.0,24.9,24.6,24.7,24.9,24.5,24.7,24.7,24.7,24.8,24.6,60.0,55.0,65.0,65.0,63.0,60.3,60.4,60.5,60.2,60.3,60.1,60.2,60.5,60.3,60.5
85,03-02-2025,25.0,23.0,22.0,27.0,26.0,24.6,24.7,24.9,24.8,24.6,24.9,24.5,25.0,24.9,24.7,60.0,55.0,65.0,65.0,63.0,60.2,60.5,60.3,60.2,60.0,60.4,60.5,60.2,60.3,60.4
86,07-02-2025,25.0,23.0,22.0,27.0,26.0,24.5,24.6,25.0,24.7,24.9,24.5,24.9,25.0,24.7,24.5,60.0,55.0,65.0,65.0,63.0,60.1,60.0,60.1,60.2,60.0,60.2,60.4,60.2,60.4,60.0
87,11-02-2025,25.0,23.0,22.0,27.0,26.0,24.8,24.6,24.6,24.6,24.8,24.9,24.7,24.9,24.7,24.5,60.0,55.0,65.0,65.0,63.0,60.1,60.5,60.3,60.3,60.1,60.3,60.4,60.4,60.4,60.2
88,14-02-2025,25.0,23.0,22.0,27.0,26.0,24.7,24.7,24.8,24.8,24.6,24.9,24.7,24.9,24.7,24.9,60.0,55.0,65.0,65.0,63.0,60.2,60.2,60.5,60.3,60.4,60.1,60.1,60.1,60.5,60.1
89,18-02-2025,25.0,23.0,22.0,27.0,26.0,24.8,25.0,24.8,24.9,24.7,24.7,24.5,24.8,24.9,24.9,60.0,55.0,65.0,65.0,63.0,60.5,60.2,60.1,60.2,60.2,60.3,60.1,60.2,60.2,60.0
90,22-02-2025,25.0,23.0,22.0,27.0,26.0,25.0,24.7,24.8,24.9,24.5,25.0,25.0,24.7,24.8,24.5,60.0,55.0,65.0,65.0,63.0,60.3,60.3,60.3,60.0,60.1,60.5,60.3,60.3,60.3,60.1
91,25-02-2025,25.0,23.0,22.0,27.0,26.0,24.7,24.6,24.8,24.7,24.6,24.9,24.6,24.6,24.9,24.6,60.0,55.0,65.0,65.0,63.0,60.3,60.5,60.2,60.1,60.2,60.4,60.4,60.0,60.2,60.4
92,01-03-2025,25.0,23.0,22.0,27.0,26.0,24.6,24.9,25.0,25.0,24.8,25.0,24.9,24.8,24.6,24.9,60.0,55.0,65.0,65.0,63.0,60.1,60.3,60.3,60.3,60.5,60.4,60.5,60.1,60.2,60.3
93,05-03-2025,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.6,24.9,24.7,24.6,24.7,24.8,24.5,24.6,60.0,55.0,65.0,65.0,63.0,60.0,60.4,60.5,60.5,60.1,60.2,60.3,60.3,60.1,60.1
94,08-03-2025,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.7,24.7,24.9,24.8,24.9,25.0,24.6,24.5,60.0,55.0,65.0,65.0,63.0,60.3,60.2,60.4,60.2,60.3,60.2,60.0,60.0,60.2,60.0
95,12-03-2025,25.0,23.0,22.0,27.0,26.0,25.0,24.8,24.6,24.7,24.8,24.5,24.7,24.7,24.7,24.8,60.0,55.0,65.0,65.0,63.0,60.5,60.4,60.3,60.2,60.4,60.4,60.4,60.1,60.4,60.1
96,16-03-2025,25.0,23.0,22.0,27.0,26.0,24.9,24.9,24.9,24.8,24.8,24.7,24.7,24.5,24.6,24.7,60.0,55.0,65.0,65.0,63.0,60.3,60.4,60.4,60.1,60.1,60.3,60.3,60.1,60.3,60.3
97,19-03-2025,25.0,23.0,22.0,27.0,26.0,25.0,25.0,24.6,24.8,24.7,24.8,24.5,24.8,24.7,24.7,60.0,55.0,65.0,65.0,63.0,60.2,60.1,60.2,60.3,60.4,60.4,60.4,60.4,60.3,60.1
98,23-03-2025,25.0,23.0,22.0,27.0,26.0,24.5,24.6,24.6,24.5,24.5,24.8,25.0,24.6,24.9,24.5,60.0,55.0,65.0,65.0,63.0,60.0,60.3,60.2,60.1,60.1,60.2,60.4,60.2,60.0,60.1
99,27-03-2025,25.0,23.0,22.0,27.0,26.0,24.7,24.8,24.5,24.7,24.9,24.6,24.9,24.5,24.7,25.0,60.0,55.0,65.0,65.0,63.0,60.2,60.1,60.4,60.5,60.0,60.1,60.1,60.2,60.1,60.0
100,31-03-2025,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.7,24.7,24.9,24.7,24.6,24.7,24.9,24.9,60.0,55.0,65.0,65.0,63.0,60.4,60.1,60.0,60.1,60.2,60.4,60.3,60.4,60.2,60.2
