Record,Date Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1
28,04:22:26,25.0,23.0,22.0,27.0,26.0,25.140046806831954
29,10:00:54,25.0,23.0,22.0,27.0,26.0,24.97739189634029
30,14:13:46,25.0,23.0,22.0,27.0,26.0,24.84705966006565
31,23:09:32,25.0,23.0,22.0,27.0,26.0,25.169852104915574
32,10:20:46,25.0,23.0,22.0,27.0,26.0,25.338574446384413
33,21:45:34,25.0,23.0,22.0,27.0,26.0,25.272226176275666
34,19:34:57,25.0,23.0,22.0,27.0,26.0,24.961969753520904
35,01:58:22,25.0,23.0,22.0,27.0,26.0,24.724966090149984
36,21:17:39,25.0,23.0,22.0,27.0,26.0,24.75292504299894
37,09:08:25,25.0,23.0,22.0,27.0,26.0,24.739225292669214
38,09:47:29,25.0,23.0,22.0,27.0,26.0,24.5949004596987
39,21:39:31,25.0,23.0,22.0,27.0,26.0,25.206517491117427
40,03:47:37,25.0,23.0,22.0,27.0,26.0,24.826173042174712
41,23:40:34,25.0,23.0,22.0,27.0,26.0,25.362225324591176
42,17:00:22,25.0,23.0,22.0,27.0,26.0,24.86971516518988
43,15:13:35,25.0,23.0,22.0,27.0,26.0,24.647073943223727
44,16:58:59,25.0,23.0,22.0,27.0,26.0,25.22735403570716
45,19:11:34,25.0,23.0,22.0,27.0,26.0,24.79965133498028
46,17:19:36,25.0,23.0,22.0,27.0,26.0,25.26101938242482
47,02:46:28,25.0,23.0,22.0,27.0,26.0,24.713779005746623
48,07:23:33,25.0,23.0,22.0,27.0,26.0,25.147916195433957
49,12:18:56,25.0,23.0,22.0,27.0,26.0,24.99022924252535
50,01:11:54,25.0,23.0,22.0,27.0,26.0,24.821103964383013
51,16:51:49,25.0,23.0,22.0,27.0,26.0,24.770730891972722
52,17:07:11,25.0,23.0,22.0,27.0,26.0,24.62789501236896
53,23:45:17,25.0,23.0,22.0,27.0,26.0,24.59826997850542
54,01:30:14,25.0,23.0,22.0,27.0,26.0,25.42034159981668
55,20:13:58,25.0,23.0,22.0,27.0,26.0,24.79034114374221
56,22:28:02,25.0,23.0,22.0,27.0,26.0,25.229682731462585
57,02:18:16,25.0,23.0,22.0,27.0,26.0,24.982960514087143
58,06:33:29,25.0,23.0,22.0,27.0,26.0,25.128934001507808
59,05:05:37,25.0,23.0,22.0,27.0,26.0,25.233063702112673
60,02:55:56,25.0,23.0,22.0,27.0,26.0,24.94705904018677
61,13:27:14,25.0,23.0,22.0,27.0,26.0,24.70256166351974
62,14:30:05,25.0,23.0,22.0,27.0,26.0,25.12467018634942
63,20:11:25,25.0,23.0,22.0,27.0,26.0,25.052527217331395
64,18:51:35,25.0,23.0,22.0,27.0,26.0,25.15162038139734
65,23:37:06,25.0,23.0,22.0,27.0,26.0,25.371089508386373
66,04:55:53,25.0,23.0,22.0,27.0,26.0,24.584154052257567
67,13:35:49,25.0,23.0,22.0,27.0,26.0,24.84343026661289
68,22:51:38,25.0,23.0,22.0,27.0,26.0,25.164576531407274
69,10:41:30,25.0,23.0,22.0,27.0,26.0,24.950190125051037
70,12:36:34,25.0,23.0,22.0,27.0,26.0,25.391596080645716
71,12:30:32,25.0,23.0,22.0,27.0,26.0,24.784614687335164
72,04:05:14,25.0,23.0,22.0,27.0,26.0,24.68648044224348
73,14:55:45,25.0,23.0,22.0,27.0,26.0,25.44627794655113
74,04:12:58,25.0,23.0,22.0,27.0,26.0,25.237964016474912
75,20:13:39,25.0,23.0,22.0,27.0,26.0,25.294228468736456
76,11:15:17,25.0,23.0,22.0,27.0,26.0,24.956945920064435
77,08:01:24,25.0,23.0,22.0,27.0,26.0,24.77336102428702
78,10:20:35,25.0,23.0,22.0,27.0,26.0,24.949656686725948
79,06:15:20,25.0,23.0,22.0,27.0,26.0,25.468938237044433
80,15:01:10,25.0,23.0,22.0,27.0,26.0,24.547777384989104
81,16:26:45,25.0,23.0,22.0,27.0,26.0,24.695120163878343
82,10:14:26,25.0,23.0,22.0,27.0,26.0,25.016429486243638
83,16:03:57,25.0,23.0,22.0,27.0,26.0,24.61472134644881
84,06:14:35,25.0,23.0,22.0,27.0,26.0,25.423196492707383
85,11:06:16,25.0,23.0,22.0,27.0,26.0,25.02467642444748
86,15:10:15,25.0,23.0,22.0,27.0,26.0,25.22075983414075
87,07:32:26,25.0,23.0,22.0,27.0,26.0,24.53050134865397
88,18:30:07,25.0,23.0,22.0,27.0,26.0,25.010004169768848
89,15:34:28,25.0,23.0,22.0,27.0,26.0,24.7097417431549
90,10:05:12,25.0,23.0,22.0,27.0,26.0,25.177125978332956
91,04:51:16,25.0,23.0,22.0,27.0,26.0,25.172991439253888
92,06:12:18,25.0,23.0,22.0,27.0,26.0,25.12985644451153
93,09:34:30,25.0,23.0,22.0,27.0,26.0,24.66772438758576
94,23:10:17,25.0,23.0,22.0,27.0,26.0,24.968932566979877
95,15:58:21,25.0,23.0,22.0,27.0,26.0,25.358572619305523
96,13:52:45,25.0,23.0,22.0,27.0,26.0,24.864743700626367
97,13:11:18,25.0,23.0,22.0,27.0,26.0,24.949694172172535
98,17:11:49,25.0,23.0,22.0,27.0,26.0,24.711646421912874
99,10:16:28,25.0,23.0,22.0,27.0,26.0,25.04440553210621
100,10:54:32,25.0,23.0,22.0,27.0,26.0,25.466756689191968
