Record,Date,Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1
60,2024-03-19,02:55:56,25.0,23.0,22.0,27.0,26.0,24.9
61,2024-08-11,13:27:14,25.0,23.0,22.0,27.0,26.0,24.7
62,2024-09-19,14:30:05,25.0,23.0,22.0,27.0,26.0,25.1
63,2024-02-12,20:11:25,25.0,23.0,22.0,27.0,26.0,25.1
64,2024-09-19,18:51:35,25.0,23.0,22.0,27.0,26.0,25.2
65,2024-08-06,23:37:06,25.0,23.0,22.0,27.0,26.0,25.4
66,2024-06-13,04:55:53,25.0,23.0,22.0,27.0,26.0,24.6
67,2024-03-27,13:35:49,25.0,23.0,22.0,27.0,26.0,24.8
68,2024-06-19,22:51:38,25.0,23.0,22.0,27.0,26.0,25.2
69,2024-10-14,10:41:30,25.0,23.0,22.0,27.0,26.0,25.0
70,2024-06-11,12:36:34,25.0,23.0,22.0,27.0,26.0,25.4
71,2024-03-09,12:30:32,25.0,23.0,22.0,27.0,26.0,24.8
72,2024-02-21,04:05:14,25.0,23.0,22.0,27.0,26.0,24.7
73,2024-09-11,14:55:45,25.0,23.0,22.0,27.0,26.0,25.4
74,2024-07-30,04:12:58,25.0,23.0,22.0,27.0,26.0,25.2
75,2024-05-03,20:13:39,25.0,23.0,22.0,27.0,26.0,25.3
76,2024-08-08,11:15:17,25.0,23.0,22.0,27.0,26.0,25.0
77,2024-09-27,08:01:24,25.0,23.0,22.0,27.0,26.0,24.8
78,2024-01-16,10:20:35,25.0,23.0,22.0,27.0,26.0,24.9
79,2024-02-13,06:15:20,25.0,23.0,22.0,27.0,26.0,25.5
80,2024-05-16,15:01:10,25.0,23.0,22.0,27.0,26.0,24.5
81,2024-08-28,16:26:45,25.0,23.0,22.0,27.0,26.0,24.7
82,2024-09-22,10:14:26,25.0,23.0,22.0,27.0,26.0,25.0
83,2024-01-19,16:03:57,25.0,23.0,22.0,27.0,26.0,24.6
84,2024-04-21,06:14:35,25.0,23.0,22.0,27.0,26.0,25.4
85,2024-01-15,11:06:16,25.0,23.0,22.0,27.0,26.0,25.0
86,2024-03-19,15:10:15,25.0,23.0,22.0,27.0,26.0,25.2
87,2024-07-28,07:32:26,25.0,23.0,22.0,27.0,26.0,24.5
88,2024-02-10,18:30:07,25.0,23.0,22.0,27.0,26.0,25.0
89,2024-07-16,15:34:28,25.0,23.0,22.0,27.0,26.0,24.7
90,2024-05-03,10:05:12,25.0,23.0,22.0,27.0,26.0,25.2
91,2024-01-16,04:51:16,25.0,23.0,22.0,27.0,26.0,25.2
92,2024-04-01,06:12:18,25.0,23.0,22.0,27.0,26.0,25.1
93,2024-07-01,09:34:30,25.0,23.0,22.0,27.0,26.0,24.7
94,2024-03-05,23:10:17,25.0,23.0,22.0,27.0,26.0,25.0
95,2024-04-04,15:58:21,25.0,23.0,22.0,27.0,26.0,25.4
96,2024-05-04,13:52:45,25.0,23.0,22.0,27.0,26.0,24.9
97,2024-05-26,13:11:18,25.0,23.0,22.0,27.0,26.0,24.9
98,2024-06-27,17:11:49,25.0,23.0,22.0,27.0,26.0,24.7
99,2024-04-24,10:16:28,25.0,23.0,22.0,27.0,26.0,25.0
100,2024-09-07,10:54:32,25.0,23.0,22.0,27.0,26.0,25.5
