Record,Date,Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1,Tmp 2,Tmp 3,Tmp 4,Tmp 5,Tmp 6,Set RH,RH Low Alarm,RH Low Alert,RH High Alarm,RH High Alert,RH 1,RH 2,RH 3,RH 4,RH 5,RH 6
12,2024-04-28,10:08:25,25.0,23.0,22.0,27.0,26.0,25.3,25.1,25.2,25.4,25.1,25.3,60.0,55.0,54.0,65.0,64.0,60.1,60.2,60.2,60.3,60.2,60.2
13,2024-03-30,22:31:52,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.0,25.3,24.9,25.2,60.0,55.0,54.0,65.0,64.0,60.1,60.2,60.3,60.1,60.3,60.2
14,2024-03-18,18:16:45,25.0,23.0,22.0,27.0,26.0,24.5,24.6,24.5,24.5,24.5,24.7,60.0,55.0,54.0,65.0,64.0,60.0,60.1,60.1,60.2,59.9,60.0
15,2024-03-13,21:44:52,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.6,24.8,24.8,24.9,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.2,59.9,60.0,60.0
16,2024-06-05,19:58:45,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.2,25.1,25.2,25.3,60.0,55.0,54.0,65.0,64.0,59.8,59.8,59.9,59.8,59.7,59.8
17,2024-05-25,10:41:42,25.0,23.0,22.0,27.0,26.0,25.3,25.3,25.3,25.5,25.2,25.5,60.0,55.0,54.0,65.0,64.0,60.2,60.3,60.2,60.1,60.1,60.2
18,2024-08-23,13:17:23,25.0,23.0,22.0,27.0,26.0,24.6,24.7,24.5,24.4,24.7,24.4,60.0,55.0,54.0,65.0,64.0,59.9,59.8,59.9,59.9,59.8,59.8
19,2024-05-25,02:04:59,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.3,25.1,25.2,25.0,60.0,55.0,54.0,65.0,64.0,59.9,60.1,60.0,59.8,59.8,59.8
20,2024-07-02,14:48:15,25.0,23.0,22.0,27.0,26.0,24.6,24.7,24.7,24.8,24.8,24.7,60.0,55.0,54.0,65.0,64.0,60.5,60.5,60.7,60.4,60.6,60.5
21,2024-01-16,05:40:45,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.7,24.8,25.0,24.8,60.0,55.0,54.0,65.0,64.0,60.1,59.9,60.1,60.0,60.0,59.9
22,2024-08-15,07:16:01,25.0,23.0,22.0,27.0,26.0,24.6,24.6,24.5,24.4,24.7,24.5,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.4,60.6,60.5,60.5
23,2024-09-11,19:36:29,25.0,23.0,22.0,27.0,26.0,25.4,25.5,25.6,25.6,25.3,25.4,60.0,55.0,54.0,65.0,64.0,59.9,60.0,59.9,59.9,59.8,59.7
24,2024-01-30,12:31:45,25.0,23.0,22.0,27.0,26.0,25.1,25.0,24.9,25.2,25.1,25.2,60.0,55.0,54.0,65.0,64.0,59.6,59.4,59.7,59.5,59.5,59.5
25,2024-01-16,17:46:01,25.0,23.0,22.0,27.0,26.0,24.6,24.6,24.5,24.4,24.5,24.7,60.0,55.0,54.0,65.0,64.0,60.5,60.5,60.3,60.3,60.6,60.3
26,2024-03-19,13:56:51,25.0,23.0,22.0,27.0,26.0,25.2,25.4,25.1,25.3,25.2,25.3,60.0,55.0,54.0,65.0,64.0,60.3,60.3,60.3,60.4,60.5,60.3
27,2024-03-13,09:01:52,25.0,23.0,22.0,27.0,26.0,24.5,24.4,24.5,24.7,24.6,24.5,60.0,55.0,54.0,65.0,64.0,59.6,59.5,59.7,59.4,59.6,59.7
28,2024-09-19,03:10:43,25.0,23.0,22.0,27.0,26.0,25.5,25.6,25.4,25.5,25.7,25.7,60.0,55.0,54.0,65.0,64.0,59.7,59.8,59.8,59.7,59.6,59.6
29,2024-03-26,00:20:29,25.0,23.0,22.0,27.0,26.0,24.5,24.7,24.5,24.4,24.5,24.5,60.0,55.0,54.0,65.0,64.0,60.3,60.1,60.4,60.3,60.4,60.3
30,2024-03-29,22:49:22,25.0,23.0,22.0,27.0,26.0,25.2,25.2,25.2,25.0,25.1,25.3,60.0,55.0,54.0,65.0,64.0,60.2,60.2,60.2,60.4,60.4,60.2
31,2024-02-22,19:33:07,25.0,23.0,22.0,27.0,26.0,25.4,25.3,25.3,25.2,25.2,25.4,60.0,55.0,54.0,65.0,64.0,59.9,59.7,59.8,60.0,60.0,59.8
32,2024-03-27,03:03:40,25.0,23.0,22.0,27.0,26.0,25.5,25.5,25.4,25.4,25.5,25.6,60.0,55.0,54.0,65.0,64.0,60.0,59.9,60.1,60.0,60.0,59.8
33,2024-03-16,13:08:05,25.0,23.0,22.0,27.0,26.0,24.7,24.8,24.8,24.9,24.8,24.8,60.0,55.0,54.0,65.0,64.0,60.1,60.3,60.1,60.0,60.3,60.0
34,2024-04-11,12:46:54,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.9,24.8,24.6,24.7,60.0,55.0,54.0,65.0,64.0,60.2,60.3,60.3,60.1,60.4,60.1
35,2024-06-18,04:48:28,25.0,23.0,22.0,27.0,26.0,25.0,24.9,24.8,24.8,24.8,24.9,60.0,55.0,54.0,65.0,64.0,60.2,60.0,60.1,60.3,60.4,60.3
36,2024-07-29,19:35:39,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.8,24.8,25.0,24.8,60.0,55.0,54.0,65.0,64.0,59.9,60.1,59.7,59.9,60.0,59.9
37,2024-01-17,15:08:08,25.0,23.0,22.0,27.0,26.0,24.9,25.0,25.0,24.8,25.1,24.8,60.0,55.0,54.0,65.0,64.0,59.8,60.0,60.0,60.0,59.8,60.0
38,2024-04-05,01:58:29,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.0,25.2,25.2,25.2,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.4,60.2,60.4,60.4
39,2024-05-16,21:23:31,25.0,23.0,22.0,27.0,26.0,24.8,24.9,24.6,24.8,24.7,24.8,60.0,55.0,54.0,65.0,64.0,60.3,60.3,60.2,60.3,60.2,60.3
40,2024-05-05,22:23:20,25.0,23.0,22.0,27.0,26.0,24.9,25.0,24.9,25.0,24.7,24.8,60.0,55.0,54.0,65.0,64.0,59.8,60.0,59.7,60.0,59.9,59.8
41,2024-03-18,09:10:05,25.0,23.0,22.0,27.0,26.0,25.5,25.4,25.4,25.5,25.4,25.4,60.0,55.0,54.0,65.0,64.0,59.9,60.1,59.8,59.7,60.0,59.8
42,2024-09-25,21:45:13,25.0,23.0,22.0,27.0,26.0,25.2,25.3,25.1,25.3,25.1,25.2,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.6,60.5,60.4,60.5
43,2024-07-23,04:15:00,25.0,23.0,22.0,27.0,26.0,24.6,24.8,24.8,24.5,24.8,24.6,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.2,60.2,60.3,60.0
44,2024-01-19,12:06:03,25.0,23.0,22.0,27.0,26.0,24.8,24.6,25.0,24.8,24.7,24.8,60.0,55.0,54.0,65.0,64.0,60.1,60.2,60.2,59.9,60.2,60.0
45,2024-04-14,13:43:18,25.0,23.0,22.0,27.0,26.0,24.9,25.0,25.1,25.0,24.8,24.7,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.4,60.5,60.3,60.4
46,2024-09-26,09:59:05,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.8,24.7,25.0,24.8,60.0,55.0,54.0,65.0,64.0,59.8,59.9,59.8,59.7,59.8,59.9
47,2024-03-01,11:58:36,25.0,23.0,22.0,27.0,26.0,25.0,25.2,24.8,24.8,24.9,24.8,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.2,60.2,60.1,59.9
48,2024-01-20,09:47:45,25.0,23.0,22.0,27.0,26.0,25.1,25.0,25.0,25.2,25.2,25.1,60.0,55.0,54.0,65.0,64.0,60.0,59.8,59.9,60.0,59.9,60.1
49,2024-06-22,07:56:15,25.0,23.0,22.0,27.0,26.0,25.1,25.2,25.2,25.1,25.3,24.9,60.0,55.0,54.0,65.0,64.0,60.2,60.0,60.1,60.1,60.3,60.1
50,2024-06-07,07:48:36,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.6,24.8,24.9,24.6,60.0,55.0,54.0,65.0,64.0,59.7,59.7,59.8,59.5,59.8,59.6
51,2024-03-11,14:42:40,25.0,23.0,22.0,27.0,26.0,24.7,24.7,24.8,24.7,24.8,24.6,60.0,55.0,54.0,65.0,64.0,59.9,59.8,59.8,60.0,59.9,59.8
52,2024-07-13,12:41:18,25.0,23.0,22.0,27.0,26.0,25.3,25.2,25.5,25.5,25.5,25.4,60.0,55.0,54.0,65.0,64.0,59.5,59.4,59.6,59.4,59.4,59.6
53,2024-10-03,09:33:16,25.0,23.0,22.0,27.0,26.0,25.0,25.1,25.0,24.9,24.9,25.2,60.0,55.0,54.0,65.0,64.0,59.9,60.0,59.9,60.0,59.7,59.8
54,2024-07-19,04:31:14,25.0,23.0,22.0,27.0,26.0,25.3,25.1,25.5,25.1,25.2,25.2,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.2,60.0,60.3,60.0
55,2024-04-06,10:01:07,25.0,23.0,22.0,27.0,26.0,24.7,24.6,24.8,24.9,24.7,24.9,60.0,55.0,54.0,65.0,64.0,59.9,60.0,59.8,59.9,59.8,59.7
56,2024-08-08,17:56:01,25.0,23.0,22.0,27.0,26.0,25.0,25.1,25.1,25.0,25.0,25.0,60.0,55.0,54.0,65.0,64.0,59.8,60.0,60.0,60.0,60.0,60.0
57,2024-06-14,20:27:01,25.0,23.0,22.0,27.0,26.0,25.4,25.6,25.3,25.5,25.6,25.6,60.0,55.0,54.0,65.0,64.0,60.0,59.9,59.9,60.0,59.9,59.9
58,2024-06-18,11:51:16,25.0,23.0,22.0,27.0,26.0,25.0,25.1,24.9,24.9,24.8,25.1,60.0,55.0,54.0,65.0,64.0,60.2,60.4,60.4,60.2,60.4,60.0
59,2024-05-17,00:43:28,25.0,23.0,22.0,27.0,26.0,24.5,24.4,24.4,24.7,24.7,24.7,60.0,55.0,54.0,65.0,64.0,59.7,59.7,59.7,59.9,59.9,59.6
60,2024-08-26,06:00:14,25.0,23.0,22.0,27.0,26.0,25.2,25.3,25.1,25.0,25.1,25.2,60.0,55.0,54.0,65.0,64.0,59.9,59.9,60.1,59.9,59.8,60.0
61,2024-07-28,05:41:03,25.0,23.0,22.0,27.0,26.0,25.4,25.4,25.2,25.3,25.2,25.3,60.0,55.0,54.0,65.0,64.0,60.1,60.1,60.2,60.2,60.2,60.3
62,2024-08-01,15:55:09,25.0,23.0,22.0,27.0,26.0,24.7,24.6,24.8,24.8,24.8,24.5,60.0,55.0,54.0,65.0,64.0,60.1,60.2,60.3,60.0,60.3,60.1
63,2024-07-11,23:06:21,25.0,23.0,22.0,27.0,26.0,25.0,24.9,25.1,24.8,25.1,25.1,60.0,55.0,54.0,65.0,64.0,60.1,60.0,60.3,60.0,60.0,59.9
64,2024-08-28,04:59:47,25.0,23.0,22.0,27.0,26.0,24.6,24.8,24.8,24.7,24.7,24.7,60.0,55.0,54.0,65.0,64.0,60.0,60.1,60.1,60.0,60.0,60.0
65,2024-01-21,06:43:25,25.0,23.0,22.0,27.0,26.0,25.3,25.2,25.3,25.4,25.4,25.4,60.0,55.0,54.0,65.0,64.0,60.3,60.5,60.3,60.5,60.5,60.5
66,2024-03-13,12:33:02,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.7,24.8,24.9,24.8,60.0,55.0,54.0,65.0,64.0,59.5,59.4,59.4,59.4,59.6,59.3
67,2024-07-18,00:59:46,25.0,23.0,22.0,27.0,26.0,25.1,25.0,25.0,25.1,24.9,25.1,60.0,55.0,54.0,65.0,64.0,60.4,60.6,60.5,60.6,60.2,60.4
68,2024-02-12,05:32:00,25.0,23.0,22.0,27.0,26.0,25.1,25.2,25.2,25.2,25.0,25.2,60.0,55.0,54.0,65.0,64.0,59.5,59.5,59.5,59.3,59.7,59.7
69,2024-10-04,21:09:13,25.0,23.0,22.0,27.0,26.0,24.7,24.9,24.9,24.6,24.8,24.8,60.0,55.0,54.0,65.0,64.0,59.8,59.7,59.9,59.8,59.9,59.7
70,2024-02-19,01:35:06,25.0,23.0,22.0,27.0,26.0,25.3,25.2,25.2,25.5,25.4,25.4,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.0,60.1,59.9,60.0
71,2024-05-20,09:37:40,25.0,23.0,22.0,27.0,26.0,25.0,25.0,25.2,24.9,24.9,25.2,60.0,55.0,54.0,65.0,64.0,59.9,59.9,60.0,59.8,59.8,59.9
72,2024-02-06,04:00:49,25.0,23.0,22.0,27.0,26.0,24.7,24.9,24.9,24.6,24.8,24.7,60.0,55.0,54.0,65.0,64.0,59.6,59.7,59.8,59.6,59.5,59.6
73,2024-02-06,12:46:49,25.0,23.0,22.0,27.0,26.0,24.7,24.5,24.8,24.7,24.6,24.7,60.0,55.0,54.0,65.0,64.0,60.0,60.2,59.8,60.2,60.0,60.0
74,2024-01-22,15:53:38,25.0,23.0,22.0,27.0,26.0,25.3,25.4,25.4,25.4,25.1,25.4,60.0,55.0,54.0,65.0,64.0,59.8,59.8,59.9,60.0,59.8,59.9
75,2024-07-18,06:19:02,25.0,23.0,22.0,27.0,26.0,25.4,25.4,25.3,25.4,25.5,25.3,60.0,55.0,54.0,65.0,64.0,60.3,60.3,60.4,60.5,60.2,60.2
76,2024-09-21,05:19:52,25.0,23.0,22.0,27.0,26.0,25.5,25.3,25.4,25.6,25.3,25.5,60.0,55.0,54.0,65.0,64.0,59.6,59.8,59.8,59.6,59.5,59.5
77,2024-08-25,11:34:34,25.0,23.0,22.0,27.0,26.0,24.5,24.5,24.7,24.7,24.5,24.6,60.0,55.0,54.0,65.0,64.0,59.6,59.7,59.7,59.5,59.6,59.7
78,2024-08-08,10:21:03,25.0,23.0,22.0,27.0,26.0,24.9,25.0,25.0,24.8,24.9,24.8,60.0,55.0,54.0,65.0,64.0,59.7,59.6,59.6,59.6,59.5,59.6
79,2024-02-18,08:42:36,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.8,24.6,24.6,24.8,60.0,55.0,54.0,65.0,64.0,59.7,59.6,59.7,59.7,59.8,59.6
80,2024-08-03,16:00:02,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.7,24.9,24.9,24.9,60.0,55.0,54.0,65.0,64.0,59.8,59.7,59.8,59.9,60.0,59.9
81,2024-05-14,11:39:47,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.1,24.9,25.2,25.0,60.0,55.0,54.0,65.0,64.0,59.6,59.7,59.8,59.4,59.6,59.7
82,2024-07-14,17:29:24,25.0,23.0,22.0,27.0,26.0,25.3,25.5,25.2,25.4,25.3,25.2,60.0,55.0,54.0,65.0,64.0,59.7,59.8,59.5,59.5,59.7,59.6
83,2024-02-05,02:04:38,25.0,23.0,22.0,27.0,26.0,24.6,24.8,24.8,24.5,24.8,24.6,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.3,60.3,60.3,60.3
84,2024-05-19,08:38:29,25.0,23.0,22.0,27.0,26.0,25.2,25.0,25.1,25.0,25.3,25.1,60.0,55.0,54.0,65.0,64.0,59.6,59.7,59.4,59.7,59.7,59.7
85,2024-01-22,11:21:54,25.0,23.0,22.0,27.0,26.0,25.0,24.9,25.0,24.9,25.0,25.1,60.0,55.0,54.0,65.0,64.0,59.8,59.7,59.8,59.7,59.9,59.9
86,2024-03-10,23:57:44,25.0,23.0,22.0,27.0,26.0,25.4,25.6,25.3,25.2,25.5,25.4,60.0,55.0,54.0,65.0,64.0,60.5,60.4,60.6,60.5,60.5,60.5
87,2024-07-16,19:45:49,25.0,23.0,22.0,27.0,26.0,24.9,24.7,25.0,24.8,25.0,24.8,60.0,55.0,54.0,65.0,64.0,60.3,60.3,60.3,60.3,60.2,60.5
88,2024-09-21,11:42:11,25.0,23.0,22.0,27.0,26.0,24.8,24.9,24.6,24.6,24.8,24.7,60.0,55.0,54.0,65.0,64.0,60.0,60.2,60.0,59.9,59.9,59.9
89,2024-08-03,14:28:14,25.0,23.0,22.0,27.0,26.0,24.6,24.5,24.6,24.8,24.6,24.6,60.0,55.0,54.0,65.0,64.0,60.1,60.1,60.1,60.0,60.0,60.2
90,2024-06-11,00:21:56,25.0,23.0,22.0,27.0,26.0,24.7,24.8,24.5,24.6,24.7,24.5,60.0,55.0,54.0,65.0,64.0,59.6,59.8,59.6,59.7,59.5,59.6
91,2024-02-13,11:36:24,25.0,23.0,22.0,27.0,26.0,25.4,25.3,25.5,25.3,25.3,25.4,60.0,55.0,54.0,65.0,64.0,59.8,59.9,59.7,59.8,59.7,59.7
92,2024-04-08,11:02:37,25.0,23.0,22.0,27.0,26.0,25.5,25.6,25.5,25.3,25.5,25.4,60.0,55.0,54.0,65.0,64.0,59.9,60.0,60.1,60.0,60.0,60.0
93,2024-01-13,15:35:38,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.8,24.8,24.9,24.7,60.0,55.0,54.0,65.0,64.0,59.9,59.7,59.9,59.7,59.9,59.7
94,2024-06-18,22:51:56,25.0,23.0,22.0,27.0,26.0,25.1,25.0,25.0,25.1,25.3,25.1,60.0,55.0,54.0,65.0,64.0,60.5,60.4,60.4,60.5,60.7,60.4
95,2024-07-18,08:30:02,25.0,23.0,22.0,27.0,26.0,25.2,25.2,25.2,25.2,25.1,25.4,60.0,55.0,54.0,65.0,64.0,59.5,59.4,59.6,59.7,59.3,59.5
96,2024-05-16,05:12:43,25.0,23.0,22.0,27.0,26.0,25.2,25.2,25.4,25.1,25.1,25.1,60.0,55.0,54.0,65.0,64.0,59.6,59.4,59.8,59.8,59.4,59.6
97,2024-01-25,07:32:59,25.0,23.0,22.0,27.0,26.0,25.1,24.9,25.2,25.2,25.2,25.1,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.3,60.2,60.0,60.0
98,2024-03-10,17:55:30,25.0,23.0,22.0,27.0,26.0,25.1,25.2,25.0,25.3,25.1,25.0,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.0,60.1,60.1,59.8
99,2024-09-10,13:03:31,25.0,23.0,22.0,27.0,26.0,25.0,24.9,24.8,25.0,25.1,25.0,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.3,60.5,60.3,60.6
100,2024-08-22,16:21:41,25.0,23.0,22.0,27.0,26.0,24.8,25.0,24.9,24.8,24.7,24.8,60.0,55.0,54.0,65.0,64.0,60.1,60.1,60.2,60.1,59.9,59.9
