Record,Date,Time,Set Temp,T Low Alarm,T Low Alert,T High Alarm,T High Alert,Tmp 1,Tmp 2,Tmp 3,Tmp 4,Tmp 5,Tmp 6,Set RH,RH Low Alarm,RH Low Alert,RH High Alarm,RH High Alert,RH 1,RH 2,RH 3,RH 4,RH 5,RH 6
21,16-01-2024,05:40:45,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.7,24.8,25.0,24.8,60.0,55.0,54.0,65.0,64.0,60.1,59.9,60.1,60.0,60.0,59.9
22,15-08-2024,07:16:01,25.0,23.0,22.0,27.0,26.0,24.6,24.6,24.5,24.4,24.7,24.5,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.4,60.6,60.5,60.5
23,11-09-2024,19:36:29,25.0,23.0,22.0,27.0,26.0,25.4,25.5,25.6,25.6,25.3,25.4,60.0,55.0,54.0,65.0,64.0,59.9,60.0,59.9,59.9,59.8,59.7
24,30-01-2024,12:31:45,25.0,23.0,22.0,27.0,26.0,25.1,25.0,24.9,25.2,25.1,25.2,60.0,55.0,54.0,65.0,64.0,59.6,59.4,59.7,59.5,59.5,59.5
25,16-01-2024,17:46:01,25.0,23.0,22.0,27.0,26.0,24.6,24.6,24.5,24.4,24.5,24.7,60.0,55.0,54.0,65.0,64.0,60.5,60.5,60.3,60.3,60.6,60.3
26,19-03-2024,13:56:51,25.0,23.0,22.0,27.0,26.0,25.2,25.4,25.1,25.3,25.2,25.3,60.0,55.0,54.0,65.0,64.0,60.3,60.3,60.3,60.4,60.5,60.3
27,13-03-2024,09:01:52,25.0,23.0,22.0,27.0,26.0,24.5,24.4,24.5,24.7,24.6,24.5,60.0,55.0,54.0,65.0,64.0,59.6,59.5,59.7,59.4,59.6,59.7
28,19-09-2024,03:10:43,25.0,23.0,22.0,27.0,26.0,25.5,25.6,25.4,25.5,25.7,25.7,60.0,55.0,54.0,65.0,64.0,59.7,59.8,59.8,59.7,59.6,59.6
29,26-03-2024,00:20:29,25.0,23.0,22.0,27.0,26.0,24.5,24.7,24.5,24.4,24.5,24.5,60.0,55.0,54.0,65.0,64.0,60.3,60.1,60.4,60.3,60.4,60.3
30,29-03-2024,22:49:22,25.0,23.0,22.0,27.0,26.0,25.2,25.2,25.2,25.0,25.1,25.3,60.0,55.0,54.0,65.0,64.0,60.2,60.2,60.2,60.4,60.4,60.2
31,22-02-2024,19:33:07,25.0,23.0,22.0,27.0,26.0,25.4,25.3,25.3,25.2,25.2,25.4,60.0,55.0,54.0,65.0,64.0,59.9,59.7,59.8,60.0,60.0,59.8
32,27-03-2024,03:03:40,25.0,23.0,22.0,27.0,26.0,25.5,25.5,25.4,25.4,25.5,25.6,60.0,55.0,54.0,65.0,64.0,60.0,59.9,60.1,60.0,60.0,59.8
33,16-03-2024,13:08:05,25.0,23.0,22.0,27.0,26.0,24.7,24.8,24.8,24.9,24.8,24.8,60.0,55.0,54.0,65.0,64.0,60.1,60.3,60.1,60.0,60.3,60.0
34,11-04-2024,12:46:54,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.9,24.8,24.6,24.7,60.0,55.0,54.0,65.0,64.0,60.2,60.3,60.3,60.1,60.4,60.1
35,18-06-2024,04:48:28,25.0,23.0,22.0,27.0,26.0,25.0,24.9,24.8,24.8,24.8,24.9,60.0,55.0,54.0,65.0,64.0,60.2,60.0,60.1,60.3,60.4,60.3
36,29-07-2024,19:35:39,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.8,24.8,25.0,24.8,60.0,55.0,54.0,65.0,64.0,59.9,60.1,59.7,59.9,60.0,59.9
37,17-01-2024,15:08:08,25.0,23.0,22.0,27.0,26.0,24.9,25.0,25.0,24.8,25.1,24.8,60.0,55.0,54.0,65.0,64.0,59.8,60.0,60.0,60.0,59.8,60.0
38,05-04-2024,01:58:29,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.0,25.2,25.2,25.2,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.4,60.2,60.4,60.4
39,16-05-2024,21:23:31,25.0,23.0,22.0,27.0,26.0,24.8,24.9,24.6,24.8,24.7,24.8,60.0,55.0,54.0,65.0,64.0,60.3,60.3,60.2,60.3,60.2,60.3
40,05-05-2024,22:23:20,25.0,23.0,22.0,27.0,26.0,24.9,25.0,24.9,25.0,24.7,24.8,60.0,55.0,54.0,65.0,64.0,59.8,60.0,59.7,60.0,59.9,59.8
41,18-03-2024,09:10:05,25.0,23.0,22.0,27.0,26.0,25.5,25.4,25.4,25.5,25.4,25.4,60.0,55.0,54.0,65.0,64.0,59.9,60.1,59.8,59.7,60.0,59.8
42,25-09-2024,21:45:13,25.0,23.0,22.0,27.0,26.0,25.2,25.3,25.1,25.3,25.1,25.2,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.6,60.5,60.4,60.5
43,23-07-2024,04:15:00,25.0,23.0,22.0,27.0,26.0,24.6,24.8,24.8,24.5,24.8,24.6,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.2,60.2,60.3,60.0
44,19-01-2024,12:06:03,25.0,23.0,22.0,27.0,26.0,24.8,24.6,25.0,24.8,24.7,24.8,60.0,55.0,54.0,65.0,64.0,60.1,60.2,60.2,59.9,60.2,60.0
45,14-04-2024,13:43:18,25.0,23.0,22.0,27.0,26.0,24.9,25.0,25.1,25.0,24.8,24.7,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.4,60.5,60.3,60.4
46,26-09-2024,09:59:05,25.0,23.0,22.0,27.0,26.0,24.9,24.8,24.8,24.7,25.0,24.8,60.0,55.0,54.0,65.0,64.0,59.8,59.9,59.8,59.7,59.8,59.9
47,01-03-2024,11:58:36,25.0,23.0,22.0,27.0,26.0,25.0,25.2,24.8,24.8,24.9,24.8,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.2,60.2,60.1,59.9
48,20-01-2024,09:47:45,25.0,23.0,22.0,27.0,26.0,25.1,25.0,25.0,25.2,25.2,25.1,60.0,55.0,54.0,65.0,64.0,60.0,59.8,59.9,60.0,59.9,60.1
49,22-06-2024,07:56:15,25.0,23.0,22.0,27.0,26.0,25.1,25.2,25.2,25.1,25.3,24.9,60.0,55.0,54.0,65.0,64.0,60.2,60.0,60.1,60.1,60.3,60.1
50,07-06-2024,07:48:36,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.6,24.8,24.9,24.6,60.0,55.0,54.0,65.0,64.0,59.7,59.7,59.8,59.5,59.8,59.6
51,11-03-2024,14:42:40,25.0,23.0,22.0,27.0,26.0,24.7,24.7,24.8,24.7,24.8,24.6,60.0,55.0,54.0,65.0,64.0,59.9,59.8,59.8,60.0,59.9,59.8
52,13-07-2024,12:41:18,25.0,23.0,22.0,27.0,26.0,25.3,25.2,25.5,25.5,25.5,25.4,60.0,55.0,54.0,65.0,64.0,59.5,59.4,59.6,59.4,59.4,59.6
53,03-10-2024,09:33:16,25.0,23.0,22.0,27.0,26.0,25.0,25.1,25.0,24.9,24.9,25.2,60.0,55.0,54.0,65.0,64.0,59.9,60.0,59.9,60.0,59.7,59.8
54,19-07-2024,04:31:14,25.0,23.0,22.0,27.0,26.0,25.3,25.1,25.5,25.1,25.2,25.2,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.2,60.0,60.3,60.0
55,06-04-2024,10:01:07,25.0,23.0,22.0,27.0,26.0,24.7,24.6,24.8,24.9,24.7,24.9,60.0,55.0,54.0,65.0,64.0,59.9,60.0,59.8,59.9,59.8,59.7
56,08-08-2024,17:56:01,25.0,23.0,22.0,27.0,26.0,25.0,25.1,25.1,25.0,25.0,25.0,60.0,55.0,54.0,65.0,64.0,59.8,60.0,60.0,60.0,60.0,60.0
57,14-06-2024,20:27:01,25.0,23.0,22.0,27.0,26.0,25.4,25.6,25.3,25.5,25.6,25.6,60.0,55.0,54.0,65.0,64.0,60.0,59.9,59.9,60.0,59.9,59.9
58,18-06-2024,11:51:16,25.0,23.0,22.0,27.0,26.0,25.0,25.1,24.9,24.9,24.8,25.1,60.0,55.0,54.0,65.0,64.0,60.2,60.4,60.4,60.2,60.4,60.0
59,17-05-2024,00:43:28,25.0,23.0,22.0,27.0,26.0,24.5,24.4,24.4,24.7,24.7,24.7,60.0,55.0,54.0,65.0,64.0,59.7,59.7,59.7,59.9,59.9,59.6
60,26-08-2024,06:00:14,25.0,23.0,22.0,27.0,26.0,25.2,25.3,25.1,25.0,25.1,25.2,60.0,55.0,54.0,65.0,64.0,59.9,59.9,60.1,59.9,59.8,60.0
61,28-07-2024,05:41:03,25.0,23.0,22.0,27.0,26.0,25.4,25.4,25.2,25.3,25.2,25.3,60.0,55.0,54.0,65.0,64.0,60.1,60.1,60.2,60.2,60.2,60.3
62,01-08-2024,15:55:09,25.0,23.0,22.0,27.0,26.0,24.7,24.6,24.8,24.8,24.8,24.5,60.0,55.0,54.0,65.0,64.0,60.1,60.2,60.3,60.0,60.3,60.1
63,11-07-2024,23:06:21,25.0,23.0,22.0,27.0,26.0,25.0,24.9,25.1,24.8,25.1,25.1,60.0,55.0,54.0,65.0,64.0,60.1,60.0,60.3,60.0,60.0,59.9
64,28-08-2024,04:59:47,25.0,23.0,22.0,27.0,26.0,24.6,24.8,24.8,24.7,24.7,24.7,60.0,55.0,54.0,65.0,64.0,60.0,60.1,60.1,60.0,60.0,60.0
65,21-01-2024,06:43:25,25.0,23.0,22.0,27.0,26.0,25.3,25.2,25.3,25.4,25.4,25.4,60.0,55.0,54.0,65.0,64.0,60.3,60.5,60.3,60.5,60.5,60.5
66,13-03-2024,12:33:02,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.7,24.8,24.9,24.8,60.0,55.0,54.0,65.0,64.0,59.5,59.4,59.4,59.4,59.6,59.3
67,18-07-2024,00:59:46,25.0,23.0,22.0,27.0,26.0,25.1,25.0,25.0,25.1,24.9,25.1,60.0,55.0,54.0,65.0,64.0,60.4,60.6,60.5,60.6,60.2,60.4
68,12-02-2024,05:32:00,25.0,23.0,22.0,27.0,26.0,25.1,25.2,25.2,25.2,25.0,25.2,60.0,55.0,54.0,65.0,64.0,59.5,59.5,59.5,59.3,59.7,59.7
69,04-10-2024,21:09:13,25.0,23.0,22.0,27.0,26.0,24.7,24.9,24.9,24.6,24.8,24.8,60.0,55.0,54.0,65.0,64.0,59.8,59.7,59.9,59.8,59.9,59.7
70,19-02-2024,01:35:06,25.0,23.0,22.0,27.0,26.0,25.3,25.2,25.2,25.5,25.4,25.4,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.0,60.1,59.9,60.0
71,20-05-2024,09:37:40,25.0,23.0,22.0,27.0,26.0,25.0,25.0,25.2,24.9,24.9,25.2,60.0,55.0,54.0,65.0,64.0,59.9,59.9,60.0,59.8,59.8,59.9
72,06-02-2024,04:00:49,25.0,23.0,22.0,27.0,26.0,24.7,24.9,24.9,24.6,24.8,24.7,60.0,55.0,54.0,65.0,64.0,59.6,59.7,59.8,59.6,59.5,59.6
73,06-02-2024,12:46:49,25.0,23.0,22.0,27.0,26.0,24.7,24.5,24.8,24.7,24.6,24.7,60.0,55.0,54.0,65.0,64.0,60.0,60.2,59.8,60.2,60.0,60.0
74,22-01-2024,15:53:38,25.0,23.0,22.0,27.0,26.0,25.3,25.4,25.4,25.4,25.1,25.4,60.0,55.0,54.0,65.0,64.0,59.8,59.8,59.9,60.0,59.8,59.9
75,18-07-2024,06:19:02,25.0,23.0,22.0,27.0,26.0,25.4,25.4,25.3,25.4,25.5,25.3,60.0,55.0,54.0,65.0,64.0,60.3,60.3,60.4,60.5,60.2,60.2
76,21-09-2024,05:19:52,25.0,23.0,22.0,27.0,26.0,25.5,25.3,25.4,25.6,25.3,25.5,60.0,55.0,54.0,65.0,64.0,59.6,59.8,59.8,59.6,59.5,59.5
77,25-08-2024,11:34:34,25.0,23.0,22.0,27.0,26.0,24.5,24.5,24.7,24.7,24.5,24.6,60.0,55.0,54.0,65.0,64.0,59.6,59.7,59.7,59.5,59.6,59.7
78,08-08-2024,10:21:03,25.0,23.0,22.0,27.0,26.0,24.9,25.0,25.0,24.8,24.9,24.8,60.0,55.0,54.0,65.0,64.0,59.7,59.6,59.6,59.6,59.5,59.6
79,18-02-2024,08:42:36,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.8,24.6,24.6,24.8,60.0,55.0,54.0,65.0,64.0,59.7,59.6,59.7,59.7,59.8,59.6
80,03-08-2024,16:00:02,25.0,23.0,22.0,27.0,26.0,24.8,24.8,24.7,24.9,24.9,24.9,60.0,55.0,54.0,65.0,64.0,59.8,59.7,59.8,59.9,60.0,59.9
81,14-05-2024,11:39:47,25.0,23.0,22.0,27.0,26.0,25.1,25.1,25.1,24.9,25.2,25.0,60.0,55.0,54.0,65.0,64.0,59.6,59.7,59.8,59.4,59.6,59.7
82,14-07-2024,17:29:24,25.0,23.0,22.0,27.0,26.0,25.3,25.5,25.2,25.4,25.3,25.2,60.0,55.0,54.0,65.0,64.0,59.7,59.8,59.5,59.5,59.7,59.6
83,05-02-2024,02:04:38,25.0,23.0,22.0,27.0,26.0,24.6,24.8,24.8,24.5,24.8,24.6,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.3,60.3,60.3,60.3
84,19-05-2024,08:38:29,25.0,23.0,22.0,27.0,26.0,25.2,25.0,25.1,25.0,25.3,25.1,60.0,55.0,54.0,65.0,64.0,59.6,59.7,59.4,59.7,59.7,59.7
85,22-01-2024,11:21:54,25.0,23.0,22.0,27.0,26.0,25.0,24.9,25.0,24.9,25.0,25.1,60.0,55.0,54.0,65.0,64.0,59.8,59.7,59.8,59.7,59.9,59.9
86,10-03-2024,23:57:44,25.0,23.0,22.0,27.0,26.0,25.4,25.6,25.3,25.2,25.5,25.4,60.0,55.0,54.0,65.0,64.0,60.5,60.4,60.6,60.5,60.5,60.5
87,16-07-2024,19:45:49,25.0,23.0,22.0,27.0,26.0,24.9,24.7,25.0,24.8,25.0,24.8,60.0,55.0,54.0,65.0,64.0,60.3,60.3,60.3,60.3,60.2,60.5
88,21-09-2024,11:42:11,25.0,23.0,22.0,27.0,26.0,24.8,24.9,24.6,24.6,24.8,24.7,60.0,55.0,54.0,65.0,64.0,60.0,60.2,60.0,59.9,59.9,59.9
89,03-08-2024,14:28:14,25.0,23.0,22.0,27.0,26.0,24.6,24.5,24.6,24.8,24.6,24.6,60.0,55.0,54.0,65.0,64.0,60.1,60.1,60.1,60.0,60.0,60.2
90,11-06-2024,00:21:56,25.0,23.0,22.0,27.0,26.0,24.7,24.8,24.5,24.6,24.7,24.5,60.0,55.0,54.0,65.0,64.0,59.6,59.8,59.6,59.7,59.5,59.6
91,13-02-2024,11:36:24,25.0,23.0,22.0,27.0,26.0,25.4,25.3,25.5,25.3,25.3,25.4,60.0,55.0,54.0,65.0,64.0,59.8,59.9,59.7,59.8,59.7,59.7
92,08-04-2024,11:02:37,25.0,23.0,22.0,27.0,26.0,25.5,25.6,25.5,25.3,25.5,25.4,60.0,55.0,54.0,65.0,64.0,59.9,60.0,60.1,60.0,60.0,60.0
93,13-01-2024,15:35:38,25.0,23.0,22.0,27.0,26.0,24.8,24.7,24.8,24.8,24.9,24.7,60.0,55.0,54.0,65.0,64.0,59.9,59.7,59.9,59.7,59.9,59.7
94,18-06-2024,22:51:56,25.0,23.0,22.0,27.0,26.0,25.1,25.0,25.0,25.1,25.3,25.1,60.0,55.0,54.0,65.0,64.0,60.5,60.4,60.4,60.5,60.7,60.4
95,18-07-2024,08:30:02,25.0,23.0,22.0,27.0,26.0,25.2,25.2,25.2,25.2,25.1,25.4,60.0,55.0,54.0,65.0,64.0,59.5,59.4,59.6,59.7,59.3,59.5
96,16-05-2024,05:12:43,25.0,23.0,22.0,27.0,26.0,25.2,25.2,25.4,25.1,25.1,25.1,60.0,55.0,54.0,65.0,64.0,59.6,59.4,59.8,59.8,59.4,59.6
97,25-01-2024,07:32:59,25.0,23.0,22.0,27.0,26.0,25.1,24.9,25.2,25.2,25.2,25.1,60.0,55.0,54.0,65.0,64.0,60.2,60.1,60.3,60.2,60.0,60.0
98,10-03-2024,17:55:30,25.0,23.0,22.0,27.0,26.0,25.1,25.2,25.0,25.3,25.1,25.0,60.0,55.0,54.0,65.0,64.0,60.0,60.0,60.0,60.1,60.1,59.8
99,10-09-2024,13:03:31,25.0,23.0,22.0,27.0,26.0,25.0,24.9,24.8,25.0,25.1,25.0,60.0,55.0,54.0,65.0,64.0,60.4,60.3,60.3,60.5,60.3,60.6
100,22-08-2024,16:21:41,25.0,23.0,22.0,27.0,26.0,24.8,25.0,24.9,24.8,24.7,24.8,60.0,55.0,54.0,65.0,64.0,60.1,60.1,60.2,60.1,59.9,59.9
